501901363|10/7/2020|271|499
201934967|10/4/2020|646|776
850697294|7/4/2020|251|615
336218304|12/11/2020|352|445
167571032|19/1/2020|312|714
267181248|5/2/2020|795|865
407691212|13/6/2020|418|860
267181248|2/8/2020|798|825
622123937|27/1/2020|385|497
201934967|10/10/2020|236|360
267181248|8/6/2020|464|452
492612366|9/11/2020|598|234
237269732|6/5/2020|466|260
237269732|9/12/2020|691|566
850697294|22/1/2020|843|562
267181248|6/1/2020|698|835
133225758|5/10/2020|869|509
751252295|2/11/2020|737|312
850697294|12/3/2020|597|754
955221698|13/11/2020|599|761
955221698|6/7/2020|359|245
133225758|6/7/2020|797|228
133225758|26/1/2020|412|287
492612366|11/8/2020|614|670
629910587|12/5/2020|879|853
167571032|10/12/2020|722|573
310717401|12/2/2020|266|704
201934967|21/1/2020|663|803
846923240|9/7/2020|724|348
492612366|3/5/2020|603|696
501901363|6/12/2020|456|464
622123937|5/3/2020|521|317
622123937|4/9/2020|633|419
310717401|8/5/2020|436|749
657002680|12/3/2020|611|784
237269732|10/4/2020|514|409
492612366|10/5/2020|753|544
850697294|2/11/2020|552|690
492612366|7/4/2020|256|554
201934967|2/11/2020|289|333
267181248|9/10/2020|882|446
501901363|9/10/2020|822|286
401002208|7/9/2020|896|440
657002680|9/4/2020|750|866
751252295|9/10/2020|325|514
407691212|13/6/2020|543|875
201934967|4/5/2020|762|245
923848010|11/12/2020|726|612
133225758|8/5/2020|306|274
846923240|11/6/2020|706|709
237269732|12/10/2020|707|355
167571032|13/11/2020|612|509
401002208|12/4/2020|674|209
492612366|12/10/2020|247|585
751252295|5/12/2020|882|779
492612366|4/7/2020|754|320
751252295|2/8/2020|804|440
629910587|9/6/2020|466|869
407691212|10/7/2020|895|682
955221698|13/6/2020|598|348
850697294|3/8/2020|627|445
201934967|4/4/2020|846|625
846923240|7/6/2020|876|638
846923240|17/1/2020|863|774
237269732|6/3/2020|693|507
310717401|10/1/2020|707|787
850697294|4/2/2020|270|581
407691212|12/10/2020|383|899
850697294|11/1/2020|782|398
133225758|12/5/2020|690|438
629910587|4/4/2020|385|450
401002208|9/3/2020|406|397
167571032|12/5/2020|327|697
267181248|8/6/2020|897|585
267181248|13/12/2020|836|316
751252295|5/9/2020|781|810
622123937|3/2/2020|785|443
850697294|9/12/2020|582|691
401002208|7/9/2020|489|480
401002208|5/5/2020|569|824
751252295|4/12/2020|657|863
846923240|6/3/2020|477|311
850697294|10/6/2020|433|571
237269732|2/4/2020|437|231
923848010|3/9/2020|617|504
629910587|5/11/2020|373|563
955221698|11/3/2020|402|756
336218304|5/6/2020|248|291
492612366|9/12/2020|573|233
167571032|11/4/2020|539|342
622123937|8/7/2020|871|669
310717401|13/6/2020|473|561
133225758|13/10/2020|516|681
681223231|10/11/2020|729|799
681223231|6/12/2020|880|675
622123937|13/8/2020|421|306
401002208|9/8/2020|585|286
629910587|6/10/2020|439|521
751252295|13/6/2020|588|325
267181248|7/7/2020|522|724
501901363|11/9/2020|493|344
336218304|5/10/2020|304|815
267181248|8/8/2020|876|442
492612366|3/6/2020|890|739
201934967|11/1/2020|528|553
310717401|10/4/2020|500|305
501901363|6/3/2020|220|444
923848010|3/10/2020|720|499
407691212|8/5/2020|650|387
751252295|4/12/2020|745|779
681223231|3/2/2020|862|820
167571032|4/5/2020|515|643
501901363|8/10/2020|762|599
955221698|8/5/2020|324|351
681223231|18/1/2020|634|692
629910587|12/10/2020|509|647
133225758|21/1/2020|821|823
657002680|10/10/2020|213|355
751252295|2/6/2020|314|229
629910587|6/6/2020|708|471
681223231|13/7/2020|230|885
923848010|10/9/2020|752|602
622123937|5/5/2020|378|710
237269732|3/3/2020|871|413
955221698|5/1/2020|782|759
629910587|9/3/2020|617|377
850697294|12/12/2020|830|666
201934967|4/10/2020|601|301
237269732|5/6/2020|343|621
622123937|3/2/2020|726|555
267181248|8/7/2020|677|446
501901363|6/5/2020|697|477
167571032|11/6/2020|582|456
336218304|2/6/2020|740|546
955221698|9/10/2020|498|605
622123937|4/7/2020|374|674
336218304|10/12/2020|346|855
336218304|9/12/2020|704|428
629910587|12/1/2020|358|490
955221698|5/4/2020|671|615
133225758|8/6/2020|492|781
401002208|3/5/2020|729|267
923848010|10/7/2020|447|886
955221698|11/11/2020|816|287
923848010|11/12/2020|610|398
629910587|8/2/2020|364|733
622123937|2/8/2020|620|615
657002680|3/3/2020|896|585
201934967|4/12/2020|317|574
267181248|12/10/2020|679|889
237269732|4/5/2020|719|805
850697294|6/12/2020|568|388
401002208|13/2/2020|797|675
267181248|2/8/2020|813|398
407691212|2/12/2020|514|431
622123937|11/11/2020|746|407
310717401|12/7/2020|645|570
846923240|4/6/2020|850|222
407691212|11/3/2020|489|654
237269732|13/2/2020|303|888
267181248|12/6/2020|577|569
846923240|4/9/2020|591|225
629910587|6/12/2020|272|772
401002208|7/11/2020|317|495
629910587|11/8/2020|294|467
955221698|3/4/2020|852|756
401002208|12/1/2020|885|817
629910587|3/2/2020|313|247
955221698|13/8/2020|712|307
955221698|8/2/2020|652|280
201934967|2/9/2020|891|676
923848010|2/4/2020|837|229
622123937|4/12/2020|289|739
401002208|11/8/2020|559|659
923848010|3/2/2020|230|491
237269732|6/3/2020|852|505
310717401|6/10/2020|544|826
167571032|28/1/2020|724|285
492612366|6/12/2020|631|820
850697294|10/4/2020|707|283
629910587|9/9/2020|764|291
310717401|13/3/2020|596|253
267181248|1/1/2020|572|394
401002208|13/4/2020|593|402
681223231|10/5/2020|442|402
846923240|9/10/2020|252|371
846923240|2/2/2020|410|249
310717401|6/7/2020|618|869
133225758|13/6/2020|802|236
955221698|11/2/2020|713|577
237269732|7/5/2020|441|344
923848010|17/1/2020|863|737
923848010|5/8/2020|535|635
167571032|6/1/2020|651|845
955221698|6/3/2020|726|265
